Category,Question
Overall Summary & Balance,"What is the **All accounts balance**?"
Overall Summary & Balance,"What is the total balance of **Fidelity accounts**?"
Overall Summary & Balance,"What is the total balance of **Non-Fidelity accounts**?"
Overall Summary & Balance,"What is the total **Day change dollar amount** for all Fidelity accounts?"
Overall Summary & Balance,"What is the **Day change percentage** for all Fidelity accounts?"
Overall Summary & Balance,"What is the **total balance** in the Retirement account group?"
Overall Summary & Balance,"How many **Messages** are unread?"
Overall Summary & Balance,"What is the balance of the **Brokerage** account?"
Overall Summary & Balance,"What is the balance of the **Cash Management** account?"
Overall Summary & Balance,"What is the balance of the **HSA** account?"
Overall Summary & Balance,"What is the balance of the **Fidelity Go** account?"
Overall Summary & Balance,"What is the balance of the **FMR Profit Sharing** account?"
Overall Summary & Balance,"What is the balance of the **Fidelity RHRP** account?"
Overall Summary & Balance,"What is the balance of the **Credit Cards** group?"
Overall Summary & Balance,"What is the balance of the **Bank of America Checking** account?"
Performance Metrics,"What is the **Total return percentage**?"
Performance Metrics,"What is the **Total return dollar amount**?"
Performance Metrics,"What is the **Time-weighted rate of return (pre-tax)**?"
Performance Metrics,"What is the total **Invested** amount?"
Performance Metrics,"What is the total **Cash** amount?"
Performance Metrics,"What is the total amount of **Investment income**?"
Performance Metrics,"What is the total amount of **Net deposits and withdrawals**?"
Performance Metrics,"What is the return for the **S&P 500 Index** for the period Sep-01-2024 to Aug-31-2025?"
Performance Metrics,"What is the return for the **Bloomberg U.S. Aggregate Bond Index** for the period Sep-01-2024 to Aug-31-2025?"
Performance Metrics,"What is the **Average total income** per period shown in the Investment Income chart?"
Asset Allocation,"What percentage of the portfolio is allocated to **Domestic Stock**?"
Asset Allocation,"What percentage of the portfolio is allocated to **Foreign Stock**?"
Asset Allocation,"What percentage of the portfolio is allocated to **Short Term**?"
Asset Allocation,"What is the percentage of the portfolio in **Bonds**?"
Asset Allocation,"What is the total value the **Geographic exposure** percentages are based on?"
Geographic Exposure,"What percentage of my assets are exposed to **North America**?"
Geographic Exposure,"What is the portfolio's exposure percentage to **Europe Developed**?"
