Category,Question
Account Balances & Status,"What is the **current total balance** for this account?"
Account Balances & Status,"What was the **total balance** for this account on September 5, 2025?"
Account Balances & Status,"Is the account balance currently marked as **Fully vested**?"
Account Balances & Status,"What was the **dollar gain or loss** for this account today?"
Account Balances & Status,"What was the **percentage gain or loss** for this account today?"
Account Balances & Status,"What is the total amount of **Employee Contributions**?"
Account Balances & Status,"What is the total amount of **Fidelity Contributions**?"
Account Balances & Status,"When was the account data **last updated** (time and date)?"
Performance Metrics,"What was the **1-year rate of return** as of August 29, 2025?"
Performance Metrics,"What was the **3-year rate of return** as of August 31, 2025?"
Performance Metrics,"What was the **Year to date rate of return** as of August 31, 2025?"
Performance Metrics,"What was the cumulative **percentage return** in the past year shown on the chart?"
Performance Metrics,"What is the **lowest value** displayed on the Y-axis of the chart?"
Performance Metrics,"What is the **highest value** displayed on the Y-axis of the chart?"
Performance Metrics,"What is the earliest **date** on the chart's X-axis?"
Performance Metrics,"What is the latest **date** on the chart's X-axis?"
Performance Metrics,"What are the four available **time horizons** for the chart (1M, YTD, etc.)?"
Performance Metrics,"What date is the **1-year rate of return** closed as of?"
Performance Metrics,"What date is the **3-year rate of return** closed as of?"
Asset Allocation,"What is the **As of date** for the asset allocation data?"
Asset Allocation,"What is the current allocation percentage for **Domestic stock**?"
Asset Allocation,"What is the current allocation percentage for **Foreign stock**?"
Asset Allocation,"What is the current allocation percentage for **Bonds**?"
Asset Allocation,"What is the current allocation percentage for **Short term** holdings?"
Asset Allocation,"What is the current allocation percentage for **Other** holdings?"
Asset Allocation,"What general **strategy** does this asset allocation resemble (e.g., Most Aggressive)?"
Top/Bottom Movers,"What fund symbol was the **top dollar gainer** (FIMVX)?"
Top/Bottom Movers,"What was the **percentage gain** for the top dollar gainer (FIMVX)?"
Top/Bottom Movers,"What is the **last price** for the top dollar gainer (FIMVX)?"
Top/Bottom Movers,"What fund symbol was the **largest percentage loser** (FPADX)?"
Top/Bottom Movers,"What was the **dollar loss** for the largest percentage loser (FPADX)?"
Top/Bottom Movers,"What is the **last price** for the largest percentage loser (FPADX)?"
Top/Bottom Movers,"What fund symbol showed a **$0.00 gain/loss** today (FIKPX)?"
Top/Bottom Movers,"What is the **last price** for the fund **FSMDX**?"
Top/Bottom Movers,"What is the full name of the fund **FIQKX**?"
Top/Bottom Movers,"What is the full name of the fund **FZAEX**?"
Top/Bottom Movers,"What is the full name of the fund **FPADX**?"
Top/Bottom Movers,"How many total positions are listed in the **Top and Bottom Movers** section?"
Market Indices & Prices,"What was the **closing value** of the **Dow Jones** index?"
Market Indices & Prices,"What was the **percentage change** for the **S&P 500** index today?"
Market Indices & Prices,"What was the **closing value** of the **Nasdaq** index?"
Market Indices & Prices,"What is the current price of **Crude oil**?"
Market Indices & Prices,"What is the current price of **Gold**?"
Market Indices & Prices,"What is the price of the **US 10 year** treasury?"
Market Indices & Prices,"What is the current price of **Bitcoin**?"
Market Indices & Prices,"How long is the delay for **Crude oil and gold** prices?"
Market Indices & Prices,"Are the U.S. markets currently **open or closed**?"
General Facts & Disclosures,"What is the latest **As of** date and time for the portfolio summary data?"
General Facts & Disclosures,"What does the **not priced today icon** indicate?"
General Facts & Disclosures,"What is the minimum share value that a **money market fund** seeks to preserve?"
General Facts & Disclosures,"What is the name of the entity that provides **brokerage services**?"
General Facts & Disclosures,"What is the name of the entity that provides **investment advisory services**?"
General Facts & Disclosures,"What is the name of the entity that provides **recordkeeping** for the company's equity plan?"
General Facts & Disclosures,"What is the latest year in the **copyright notice**?"
General Facts & Disclosures,"What date is the **Fidelity Personal and Workplace Advisors LLC** merger effective?"
General Facts & Disclosures,"What is the name of the entity that **FPWA** will merge into?"
General Facts & Disclosures,"What is the NMLS ID for **Fidelity Digital Asset Services, LLC**?"
General Facts & Disclosures,"What type of fund (e.g., mid-cap value index) is the top mover **FIMVX**?"
General Facts & Disclosures,"What type of fund (e.g., emerging markets index) is the largest loser **FPADX**?"
General Facts & Disclosures,"What is the description of the fund **FIQKX** (FA INTL VALUE Z)?"
General Facts & Disclosures,"What is the description of the fund **FZAEX** (FA FOCUS EMRG MKTS Z)?"
General Facts & Disclosures,"What is the description of the fund **FIKPX** (FA GOV INCOME Z)?"
General Facts & Disclosures,"What is the description of the fund **FSMDX** (FID MID CAP IDX)?"
General Facts & Disclosures,"What are the abbreviations for the US markets displayed (.DJI, .IXIC, .SPX)?"
General Facts & Disclosures,"How many data points are in the **chart**?"
General Facts & Disclosures,"What is the source of the **content and data** shown?"
General Facts & Disclosures,"Are Fidelity's government and U.S. Treasury money market funds subject to a fee upon sale?"
General Facts & Disclosures,"What date is the **Chart** data range from?"
General Facts & Disclosures,"What date is the **Chart** data range to?"
General Facts & Disclosures,"What is the **time zone** used for the 'As of' timestamp (ET)?"
General Facts & Disclosures,"What is the full name of the service that will merge into **Strategic Advisers LLC**?"
