Category,Question
Account & Positions View,"How do I see an **Overview** of my positions?"
Account & Positions View,"What are the options under the **VIEW** dropdown?"
Account & Positions View,"Can I look at my positions from a **Dividend view**?"
Account & Positions View,"Where are my **Closed positions**?"
Account & Positions View,"How to access the **Fund performance** view?"
Account & Positions View,"Can I create a **My View** or **Edit My View**?"
Account & Positions View,"When was this positions data last updated?"
Account & Positions View,"How do I **Refresh Positions** data?"
Account & Positions View,"What are the **Available Actions** from this page?"
Account & Positions View,"Why am I only seeing positions for the **Brokerage** account right now?"
Account & Positions View,"How can I switch to view my **Retirement** account positions?"
Account & Positions View,"Where are the holdings for the **HSA** account?"
Account & Positions View,"How do I **Filter my positions**?"
Account & Positions View,"Is there a quick way to **Search Positions**?"
Data Columns,"What does **Last price** mean for a stock?"
Data Columns,"What was the **Last price change** for MSFT?"
Data Columns,"How much is my **Today's gain/loss $** for all accounts?"
Data Columns,"What is the **Today's gain/loss %** for all accounts?"
Data Columns,"What is the **Total gain/loss $** for the Brokerage account?"
Data Columns,"What is the **Total gain/loss %** for GOOGL?"
Data Columns,"What is the **Current value** of all my holdings?"
Data Columns,"What does **% of account** represent?"
Data Columns,"How many **Quantity** of NVDA shares do I own?"
Data Columns,"What is the **Average cost basis** for DBA?"
Data Columns,"What is the **Cost basis total** for JPM?"
Data Columns,"How do I interpret the **52-week range** for TGT?"
Data Columns,"What is the **Grand total** current value?"
Data Columns,"Why are some mutual funds' price changes zero?"
Data Columns,"Can I customize which columns are displayed?"
Brokerage Holdings (Stocks),"What is the full company name for **GOOGL**?"
Brokerage Holdings (Stocks),"What is the current price of **GME**?"
Brokerage Holdings (Stocks),"How did **DNN** perform in total (Total gain/loss %)?"
Brokerage Holdings (Stocks),"What is the current value of my **NVDA** holding?"
Brokerage Holdings (Stocks),"What is my average cost for **F** (Ford)?"
Brokerage Holdings (Stocks),"What does the little icon next to **VV** mean (Distribution information exists)?"
Brokerage Holdings (Stocks),"Why does **NMG** have an ISIN/SEDOL listed?"
Brokerage Holdings (Stocks),"Where is the 52-week low for **TGT**?"
Brokerage Holdings (Stocks),"Any **Pending activity** for this account?"
Brokerage Holdings (Stocks),"What is the risk level of **ZVRA**?"
Brokerage Holdings (ETFs/Funds),"What is **PPA**?"
Brokerage Holdings (ETFs/Funds),"What is **BUZZ**?"
Brokerage Holdings (ETFs/Funds),"How much is my **SOXX** position worth?"
Brokerage Holdings (ETFs/Funds),"How many shares of **IVV** do I own?"
Brokerage Holdings (ETFs/Funds),"What's the difference between **DBA** and **PPA**?"
Brokerage Holdings (ETFs/Funds),"What category is the **ARM** holding in?"
Brokerage Holdings (Cash),"What is the balance of **Cash HELD IN FCASH**?"
Brokerage Holdings (Cash),"How do I **Manage dividends**?"
Retirement Holdings (FMR),"What is the full name of the **FXAIX** fund?"
Retirement Holdings (FMR),"What's the performance of **FLCNX** today?"
Retirement Holdings (FMR),"How much money do I have in the **FID EMRG MKTS IDX (FPADX)**?"
Retirement Holdings (FMR),"What's the total percentage gain for **FSKAX**?"
Retirement Holdings (FMR),"What is the largest holding by % of account in this retirement plan?"
Retirement Holdings (FMR),"Why are there so many **Index Funds**?"
Retirement Holdings (FMR),"What's the total value of all my mutual funds in this account?"
Retirement Holdings (FMR),"Is **FSPGX** a large cap or small cap fund?"
Retirement Holdings (RHRP),"Why is the **RHRP INT BEARING** position listed as **Not Priced Today**?"
Retirement Holdings (RHRP),"What is the $0.00$ value for the RHRP account total?"
Professionally Managed,"What does the shield icon next to **Fidelity Go** mean?"
Professionally Managed,"How much is in **Cash HELD IN MONEY MARKET**?"
Professionally Managed,"What are the full names of the **Fidelity Flex** funds?"
Professionally Managed,"What is the current value of **FITFX**?"
Professionally Managed,"Is **FLAPX** a large or mid-cap fund?"
HSA Holdings,"What is the balance of **Cash FDIC-INSURED DEPOSIT SWEEP**?"
HSA Holdings,"What is the **Today's gain/loss %** for **GFS**?"
HSA Holdings,"How did my **ALB** stock perform today?"
HSA Holdings,"What is the current value of my **FTEC** holding?"
HSA Holdings,"What is the total gain on **WMT**?"
HSA Holdings,"How much of the HSA is invested in **AAPL**?"
HSA Holdings,"What is the 52-week high for **ALB**?"
HSA Holdings,"Is the **IVV** in the HSA the same as the Brokerage one?"
HSA Holdings,"What's the total gain/loss for the whole HSA account?"
Risk & Disclosures,"What is a **wash sale**?"
Risk & Disclosures,"How does Fidelity handle **wash sale adjustments**?"
Risk & Disclosures,"What is the disclosure about the **not priced today icon**?"
Risk & Disclosures,"What does the **Distribution Indicator Icon** mean?"
Risk & Disclosures,"Who manages the account with the **Managed Account Indicator Icon**?"
Risk & Disclosures,"Does Fidelity guarantee the price of my money market fund?"
Risk & Disclosures,"What are the risks of **Options trading**?"
Risk & Disclosures,"Where can I find the **Characteristics and Risks of Standardized Options**?"
Risk & Disclosures,"Does Fidelity give **tax advice**?"
Risk & Disclosures,"Where are the **Terms of Use**?"
