Category,Question
Activity Filters & Search,"How do I **Search Activity & Orders**?"
Activity Filters & Search,"What does the **Past 30 days** filter include?"
Activity Filters & Search,"Can I see activity older than 30 days?"
Activity Filters & Search,"What is the difference between the **Orders** and **History** filters?"
Activity Filters & Search,"How do I filter by **Transfers**?"
Activity Filters & Search,"What are the options under **More filters**?"
Activity Filters & Search,"Can I filter activity by a specific date range?"
Activity Filters & Search,"How do I only see transactions for my **Brokerage** account?"
Activity Filters & Search,"Filter by the **Retirement** group?"
Activity Filters & Search,"Can I filter for only **Deposits**?"
Activity Filters & Search,"How to filter out the **Exchanges**?"
Activity Filters & Search,"Filter by a specific **Amount**?"
Activity Filters & Search,"How to search for a specific stock ticker's activity?"
Activity Filters & Search,"Find all the activity related to my **Fidelity Go** account."
Transaction Details,"What do the columns **Date**, **Account**, **Description**, and **Amount** mean?"
Transaction Details,"What does **YOU SOLD** mean in the description?"
Transaction Details,"What is **VSP000101**?"
Transaction Details,"What does **(Cash)** next to the amount mean?"
Transaction Details,"Why are some amounts positive (+) and some negative (-)?"
Transaction Details,"Why does the **Description** say **Exchanges** for FMR Profit Sharing?"
Transaction Details,"What is the full name of the fund **FLAPX**?"
Transaction Details,"Why are there so many **Exchanges** on Sep-11-2025?"
Transaction Details,"How many shares of **FLAPX** did I sell on Sep-15-2025?"
Transaction Details,"What is **PROSPECTUS UNDER SEPARATE COVER**?"
Transaction Details,"What is the full name of the fund **FITFX**?"
Transaction Details,"What is **FUENX**?"
Transaction Details,"What's the full name of **FDFIX**?"
Transaction Details,"Where can I find the **transaction ID**?"
Transaction Details,"What time did the transactions on Sep-15-2025 happen?"
Transaction Details,"Is the amount the gross or net value?"
Pending Activity,"Where is the table for **in progress transfers and deposits**?"
Pending Activity,"Why are in progress transfers **not displayed**?"
Pending Activity,"How do I **Check for transfers**?"
Pending Activity,"How do I know if my recent deposit is pending?"
Pending Activity,"How long does a transfer typically stay in the pending table?"
Navigation & Related Views,"How do I **Track a rollover or transfer from another firm**?"
Navigation & Related Views,"How do I **View orders for new issue bonds**?"
Navigation & Related Views,"Where can I see activity from **over 5 years ago**?"
Navigation & Related Views,"How do I **Reassign the lots for an unsettled trade**?"
Navigation & Related Views,"How to view **cost basis information**?"
Navigation & Related Views,"Where can I **Status bid requests for bonds and CDs**?"
Navigation & Related Views,"Where is the **Commissions & Price Improvement Summary**?"
Navigation & Related Views,"What is the difference between the **Summary** tab and this one?"
Navigation & Related Views,"How do I get to the **Positions** tab?"
Navigation & Related Views,"Where are my account **Balances**?"
Navigation & Related Views,"How to find my tax **Documents**?"
Navigation & Related Views,"Where is the **Planning** tab?"
Account Specific Activity (Fidelity Go),"Why did my Fidelity Go account have so many buys and sells on Sep-15-2025?"
Account Specific Activity (Fidelity Go),"What is the **Fidelity Managed Account Tooltip**?"
Account Specific Activity (Fidelity Go),"Why am I selling **FLAPX** and **FLXSX** and buying others?"
Account Specific Activity (Fidelity Go),"Was the total activity for Fidelity Go positive or negative on Sep-15-2025?"
Account Specific Activity (Fidelity Go),"When was the last time the Fidelity Go account had activity before Sep-15-2025?"
Account Specific Activity (FMR),"What type of transactions are those **Exchanges** in FMR Profit Sharing?"
Account Specific Activity (FMR),"Why are there 20+ exchange transactions on the same day?"
Account Specific Activity (FMR),"What was the **net amount** of all exchanges on Sep-11-2025?"
Account Specific Activity (FMR),"Were the exchanges mandatory or initiated by me?"
Account Specific Activity (FMR),"How do I get more detail on those FMR **Exchanges**?"
Account Specific Activity (FMR),"Did the exchanges settle yet?"
Account Specific Activity (FMR),"What is the significance of the varying dollar amounts in the exchanges?"
Account Specific Activity (General),"What about activity for my **Cash Management** account?"
Account Specific Activity (General),"Are there any transactions for the **HSA** account in the past 30 days?"
Account Specific Activity (General),"Show activity for the **Fidelity RHRP** account."
Currency & Disclosures,"What does the statement about **local currency** mean?"
Currency & Disclosures,"What is a **tokenized account number (TAN)**?"
Currency & Disclosures,"How is performance data related to this activity?"
Currency & Disclosures,"What are the **Terms of Use**?"
Currency & Disclosures,"Are these transactions **insured by SIPC**?"
Currency & Disclosures,"What are the **Fidelity Crypto risk disclosures**?"
Currency & Disclosures,"What are the risks if I choose to **Reassign the lots**?"
Currency & Disclosures,"Who is responsible for the content and data provided?"
Currency & Disclosures,"Where is the **Additional important information**?"
Currency & Disclosures,"Are commissions included in the **Amount** column?"
Troubleshooting & Other,"I don't see an activity I know happened, what should I do?"
Troubleshooting & Other,"Where are my **Buy and Sell** transactions for stocks?"
Troubleshooting & Other,"How do I get a copy of my **trade confirmation**?"
Troubleshooting & Other,"What is the exact definition of a **Transfer** on this page?"
Troubleshooting & Other,"How can I get more information about a specific **Description**?"
Troubleshooting & Other,"What is the phone number for **CUSTOMER SERVICE**?"
Troubleshooting & Other,"Where can I access the **Fidelity Assistant**?"
Troubleshooting & Other,"How do I **LOG OUT**?"
Troubleshooting & Other,"Where do I go to initiate a **Transfer**?"
Troubleshooting & Other,"How to **Pay Bills** from this screen?"
Troubleshooting & Other,"Where is the **Quote** tool?"
Troubleshooting & Other,"How can I check my **Messages (1)**?"
Troubleshooting & Other,"What is the link to my **Profile**?"
Troubleshooting & Other,"How to access the **Planning & Advice** section?"
Troubleshooting & Other,"Why is the page slow to load activity?"
Troubleshooting & Other,"Do pending debit card purchases show up here?"
Troubleshooting & Other,"Can I export this activity data?"
Troubleshooting & Other,"Is there a quick way to **Trade** from this page?"
Troubleshooting & Other,"Where can I learn about **Why Fidelity**?"
