Category,Question
Overall Summary & Balance,"What is the **All accounts** total balance?"
Overall Summary & Balance,"What is the total balance of the **Fidelity accounts** group?"
Overall Summary & Balance,"What is the total balance of the **Non-Fidelity accounts** group?"
Overall Summary & Balance,"What is the total **Day change percentage** for all Fidelity accounts?"
Overall Summary & Balance,"What is the balance of the **Retirement** account group?"
Overall Summary & Balance,"What is the balance of the **Professionally Managed** account group?"
Overall Summary & Balance,"What is the balance of the **Health Savings** account?"
Overall Summary & Balance,"What is the balance of the **Credit Cards** group?"
Overall Summary & Balance,"What is the balance of the primary **Brokerage** account?"
Overall Summary & Balance,"What is the balance of the **Cash Management** account?"
Overall Summary & Balance,"What is the balance of the **FMR Profit Sharing** account?"
Overall Summary & Balance,"What is the balance of the **Fidelity RHRP** account?"
Overall Summary & Balance,"What is the balance of the primary **Bank of America Checking** account?"
Overall Summary & Balance,"What is the latest update time for the **JetBlue Credit Card** balance?"
Overall Summary & Balance,"How many **Messages** are currently unread?"
Performance Metrics,"What is the **Total return percentage** for the selected time period?"
Performance Metrics,"What is the **Time-weighted rate of return (pre-tax)**?"
Performance Metrics,"What is the total **Invested** amount?"
Performance Metrics,"What is the total **Cash** amount?"
Performance Metrics,"What is the total amount of **Investment income**?"
Performance Metrics,"What is the total amount of **Net deposits and withdrawals**?"
Performance Metrics,"What is the return for the **S&P 500 Index** for the displayed period?"
Performance Metrics,"What is the return for the **Bloomberg U.S. Aggregate Bond Index** for the displayed period?"
Performance Metrics,"What time period does the **Investment income** section cover?"
Asset Allocation,"What percentage of the portfolio is allocated to **Domestic Stock**?"
Asset Allocation,"What percentage of the portfolio is allocated to **Foreign Stock**?"
Asset Allocation,"What is the percentage allocated to **Short Term** investments?"
Asset Allocation,"What is the percentage of the portfolio in **Bonds**?"
Asset Allocation,"What is the percentage allocated to the **Unknown** category?"
Geographic Exposure,"What percentage of assets are exposed to **North America**?"
Geographic Exposure,"What is the portfolio's exposure percentage to **Europe Developed**?"
Ratings & Analysis,"What percentage of my funds have an **Overall Morningstar Rating™** of 5 out of 5?"
Ratings & Analysis,"What percentage of holdings are classified as **Large blend** style?"
Positions Data (Factual),"How many **Quantity** of a specific stock are held?"
Positions Data (Factual),"What is the **Last price** for a selected ticker?"
Positions Data (Factual),"What is the **Average cost basis** for a selected holding?"
Positions Data (Factual),"What is the **Total gain/loss percentage** for the holding **ALB**?"
Positions Data (Factual),"What is the **52-week range** for the stock **TGT**?"
Positions Data (Factual),"What is the current value of **Cash HELD IN FCASH**?"
Positions Data (Factual),"What is the **Total value** of all positions in the Brokerage account?"
Activity & Orders,"How many transactions are listed for a specific **Date**?"
Activity & Orders,"What is the **full fund code** associated with the **YOU SOLD** transaction?"
Activity & Orders,"What is the **full description** for an **Exchanges** transaction listed?"
Activity & Orders,"What are the four main tabs for account navigation (Summary, Positions, etc.)?"
Activity & Orders,"How many days does the default **Activity & Orders** filter cover?"
Balances (Available),"What is the dollar amount **Available to trade (all settled)**?"
Balances (Available),"What is the dollar amount **Available to withdraw** in the Cash Management account?"
Balances (Available),"What is the **Day change dollar amount** for the primary Brokerage account?"
Balances (Available),"What is the **last update date** for the Bank of America Money Market Savings account?"
Balances (Available),"How many accounts show a **Trading Profile Restriction**?"
Summary Market Movers,"What was the **closing value** of the **Dow Jones** index?"
Summary Market Movers,"What was the **percentage change** for the **S&P 500** index today?"
Summary Market Movers,"What is the current price of **Gold**?"
Summary Market Movers,"What is the current price of **Bitcoin**?"
Summary Market Movers,"What is the percentage change for **Crude oil**?"
Summary Market Movers,"What is the dollar change for my top mover **GFS**?"
Summary Market Movers,"What is the percentage change for my bottom mover **DNN**?"
Summary Market Movers,"How many symbols **Hit a 52-week high**?"
Summary Market Movers,"What is the symbol that **Hit a 52-week low**?"
Summary Market Movers,"What is the **Volume** for the market mover **APLT**?"
Summary Events,"How many total **Ex-dividend date** events are upcoming?"
Summary Events,"What is the symbol with the upcoming **Ex-dividend date** event?"
Summary Events,"How many total **events** are listed in the Portfolio events section?"
Summary Events,"How many total symbols are listed as having **Hit a 52-week high**?"
Summary Events,"How many days does the **Maturing bonds or CDs** event filter cover?"
Navigation & Actions,"How many items are available under the **More** tab?"
Navigation & Actions,"What are the available actions listed near the top of the Summary page (Trade, Transfer, etc.)?"
Navigation & Actions,"What is the URL for the **Add security** page?"
Navigation & Actions,"What is the URL for the **Fidelity Trader+ Web (Trading Dashboard)**?"
Navigation & Actions,"What is the URL for the **NetBenefits®** site?"
Navigation & Actions,"What is the URL for the **View your performance** page?"
Navigation & Actions,"What is the URL for the **All positions** page?"
Navigation & Actions,"What is the URL for the **View more** Market movers page?"
Navigation & Actions,"What is the URL for the main **CUSTOMER SERVICE** page?"
Navigation & Actions,"What is the URL for the **PROFILE** page?"
Navigation & Actions,"What is the URL for the **Open an account** page?"
Navigation & Actions,"What is the URL for the **LOG OUT** page?"
Navigation & Actions,"What is the URL for the **Fidelity Crypto ® risk disclosure**?"
General Disclosures,"What is the latest **As of** date and time for the account balance data?"
General Disclosures,"What is the cut-off date for the **Hypothetical projections**?"
General Disclosures,"What is the full name of the service merging into **Strategic Advisers LLC**?"
General Disclosures,"What is the effective date of the merger into **Strategic Advisers LLC**?"
General Disclosures,"What does the disclosure state regarding the pricing of **mutual funds**?"
General Disclosures,"What is the name of the OCC document regarding options trading risks?"
General Disclosures,"What is the NMLS ID for **Fidelity Digital Asset Services, LLC**?"
General Disclosures,"What is the minimum share value that a money market fund seeks to preserve?"
General Disclosures,"What year is listed as the starting copyright year for FMR LLC?"
General Disclosures,"What is the earliest date shown on the main portfolio chart?"
General Disclosures,"What is the latest date shown on the main portfolio chart?"
General Disclosures,"What is the URL for the **Terms of Use**?"
General Disclosures,"What is the full title of the planning tool available on the page?"
General Disclosures,"How long is the delay for **Crude oil and gold** prices?"
General Disclosures,"What is the price of the **US 10 year** treasury?"
