Category,Question
Account Balances & Status,"What is the **current total balance** for this account?"
Account Balances & Status,"What was the **dollar gain or loss** for this account today?"
Account Balances & Status,"What was the **percentage gain or loss** for this account today?"
Account Balances & Status,"What is the **Available to trade (all settled)** amount?"
Account Balances & Status,"What is the **Available to withdraw** amount?"
Account Balances & Status,"What is the **routing number** associated with this account?"
Account Balances & Status,"When was the account data **last updated** (time and date)?"
Account Balances & Status,"What are the **available actions** listed above the balance (Trade, Transfer, etc.)?"
Account Balances & Status,"How many unread **Messages** are listed for the portfolio?"
Performance Metrics,"What was the **1-month cumulative pre-tax return** for this account?"
Performance Metrics,"What was the **Year-to-Date (YTD) cumulative pre-tax return** for this account?"
Performance Metrics,"What was the **1-year cumulative pre-tax return** for this account?"
Performance Metrics,"What was the cumulative return in the **past year** shown on the chart?"
Performance Metrics,"What was the **S&P 500 Index** return for the last month?"
Performance Metrics,"What was the **Dow Jones U.S. Total Stock Market Index** return for the last month?"
Performance Metrics,"What was the **MSCI ACWI ex USA (Net MA Tax)** return for the last month?"
Performance Metrics,"What was the **Bloomberg U.S. Aggregate Bond Index** return for the last month?"
Performance Metrics,"What was the **Bloomberg Municipal Bond Index** return for the last month?"
Performance Metrics,"What is the **lowest Y-axis value** on the balance chart?"
Performance Metrics,"What is the **highest Y-axis value** on the balance chart?"
Asset Allocation,"What is the current allocation percentage for **Domestic stock**?"
Asset Allocation,"What is the current allocation percentage for **Foreign stock**?"
Asset Allocation,"What is the current allocation percentage for **Bonds**?"
Asset Allocation,"What is the current allocation percentage for **Short term** holdings?"
Asset Allocation,"What is the current allocation percentage for **Other** holdings?"
Asset Allocation,"What is the general **strategy** this asset allocation resembles?"
Asset Allocation,"What are the total number of **slices** in the allocation pie chart?"
Top/Bottom Movers,"What stock symbol was the **top dollar gainer** (GME)?"
Top/Bottom Movers,"What was the **percentage gain** for the top dollar gainer (GME)?"
Top/Bottom Movers,"What is the **last price** for the top dollar gainer (GME)?"
Top/Bottom Movers,"What stock symbol was the **largest percentage loser** (DNN)?"
Top/Bottom Movers,"What was the **dollar loss** for the largest percentage loser (DNN)?"
Top/Bottom Movers,"What is the **last price** for the largest percentage loser (DNN)?"
Top/Bottom Movers,"What is the **last price** for the stock **ARM**?"
Top/Bottom Movers,"What was the **percentage change** for the stock **MODG**?"
Top/Bottom Movers,"What is the **ISIN or SEDOL number** listed for the stock **NMG**?"
Top/Bottom Movers,"How many total positions are listed in the **Top and Bottom Movers** section?"
Portfolio Events,"How many total events are listed for **Ex-dividend date**?"
Portfolio Events,"What stock symbol has the upcoming **Ex-dividend date** event?"
Portfolio Events,"How many events are listed for **Hit a 52-week high**?"
Portfolio Events,"How many events are listed for **Hit a 52-week low**?"
Portfolio Events,"What stock symbol **Hit a 52-week low**?"
Portfolio Events,"How many stock symbols are specifically named for hitting a **52-week high**?"
Portfolio Events,"Are there any **Earnings dates** events in the next 14 days?"
Portfolio Events,"Are there any **Maturing bonds or CDs** events in the next 7 days?"
Market Indices & Prices,"What was the **closing value** of the **Dow Jones** index?"
Market Indices & Prices,"What was the **percentage change** for the **S&P 500** index today?"
Market Indices & Prices,"What was the **closing value** of the **Nasdaq** index?"
Market Indices & Prices,"What is the current price of **Crude oil**?"
Market Indices & Prices,"What is the current price of **Gold**?"
Market Indices & Prices,"What is the current price of **Bitcoin**?"
Market Indices & Prices,"What is the price of the **US 10 year** treasury?"
Market Indices & Prices,"What is the **percentage change** for **Gold**?"
Market Indices & Prices,"How long is the delay for **Crude oil and gold** prices?"
Market Movers (General),"How many stocks are listed in the **Gainers & losers** market movers section?"
Market Movers (General),"What is the **Volume** for the top percentage gainer, **APLT**?"
Market Movers (General),"What is the **Volume** for the largest percentage loser, **SDM**?"
Market Movers (General),"What was the **percentage change** for **MRM**?"
Market Movers (General),"What was the **percentage change** for **ZYBT**?"
Trading Resources,"What is the URL link to **Add margin to your account**?"
Trading Resources,"What is the URL link to **Apply to trade options**?"
Trading Resources,"What is the URL link to **Visit the Learning Center**?"
Navigation & Tabs,"How many tabs are listed under the account name (Summary, Positions, etc.)?"
Navigation & Tabs,"How many items are listed under the **More** tab?"
Navigation & Tabs,"What is the URL link for the **Positions** tab?"
Navigation & Tabs,"What is the URL link for the **Activity & Orders** tab?"
Navigation & Tabs,"What is the URL link for the **Balances** tab?"
Navigation & Tabs,"What is the URL link for the **Documents** tab?"
Navigation & Tabs,"What is the URL link for the **Planning** tab?"
Disclosures & General,"What is the URL link for the **Terms of Use**?"
Disclosures & General,"What is the URL link for the **Fidelity Crypto ® risk disclosure**?"
Disclosures & General,"What is the name of the **OCC document** regarding options trading risks?"
Disclosures & General,"What is the earliest **date** on the balance chart's X-axis?"
Disclosures & General,"What is the latest **date** on the balance chart's X-axis?"
Disclosures & General,"What are the two Y-axis values labeled on the balance chart?"
Disclosures & General,"What is the name of the entity that provides brokerage services (FBS)?"
Disclosures & General,"What is the name of the entity that provides advisory services (FPWA)?"
Disclosures & General,"What is the effective date of the merger into **Strategic Advisers LLC**?"
Disclosures & General,"What is the NMLS ID for **Fidelity Digital Asset Services, LLC**?"
Disclosures & General,"What is the latest **time stamp** for the **Market movers** data?"
Disclosures & General,"What is the full title of the news article from **Reuters**?"
Disclosures & General,"What is the full title of the news article from **PR Newswire**?"
Disclosures & General,"What is the full title of the news article from **Benzinga**?"
Disclosures & General,"What is the URL link for **All positions**?"
Disclosures & General,"What is the URL link for **View your performance**?"
